source,policy,model,people,deaths,estimand,estimate,ci_low,ci_high
eicu,concordant_only,age_sex,6741,973,risk_0.10,0.1409017509851266,0.1228770943078788,0.1582813051573486
eicu,concordant_only,age_sex,6741,973,risk_0.25,0.1570730859279184,0.13264116281914817,0.18080740931150535
eicu,concordant_only,age_sex,6741,973,risk_0.50,0.16742654156949807,0.1428995356318215,0.19265341803126276
eicu,concordant_only,age_sex,6741,973,average_marginal_risk_difference,0.01272623687413449,0.002301310668046482,0.02304743590983435
eicu,concordant_only,age_sex_severity,5990,872,risk_0.00,0.14406327475067768,0.13299461810704583,0.15526622459640077
eicu,concordant_only,age_sex_severity,5990,872,risk_0.10,0.13559811803961674,0.11918780686025549,0.1522596315175111
eicu,concordant_only,age_sex_severity,5990,872,risk_0.25,0.13160850082015407,0.11086014544063838,0.15277606046828027
eicu,concordant_only,age_sex_severity,5990,872,risk_0.50,0.14250201579079028,0.12191561457517952,0.16506151740248337
eicu,concordant_only,age_sex_severity,5990,872,average_marginal_risk_difference,-0.0037447719807476828,-0.012822426434035023,0.005542854134172143
eicu,cuff_only,age_sex,7292,1071,risk_0.00,0.11993705457070535,0.10843854838539338,0.1312524763305647
eicu,cuff_only,age_sex,7292,1071,risk_0.10,0.13447842475958352,0.12270702222621135,0.14632649639517195
eicu,cuff_only,age_sex,7292,1071,risk_0.25,0.1555565121859227,0.1380550501595176,0.17298079267248193
eicu,cuff_only,age_sex,7292,1071,risk_0.50,0.183222635897162,0.16254588631463118,0.20560970261237033
eicu,cuff_only,age_sex,7292,1071,average_marginal_risk_difference,0.012081971814289362,0.006353489034287953,0.018056624713500738
eicu,cuff_only,age_sex_severity,6490,961,risk_0.00,0.14267087221035543,0.13097027516071894,0.1549689143547825
eicu,cuff_only,age_sex_severity,6490,961,risk_0.10,0.13775245835838512,0.1256561631998316,0.14996526028249785
eicu,cuff_only,age_sex_severity,6490,961,risk_0.25,0.1394079583425396,0.12455130251745476,0.15531542049820096
eicu,cuff_only,age_sex_severity,6490,961,risk_0.50,0.1589056488367448,0.14159387220447145,0.1781906489284324
eicu,cuff_only,age_sex_severity,6490,961,average_marginal_risk_difference,0.0006625258718669256,-0.004799917186216751,0.00589339899086579
mimic_iv,any_sensor,age_sex,3782,483,risk_0.00,0.10584638518100388,0.08914000198171165,0.12386384776739678
mimic_iv,any_sensor,age_sex,3782,483,risk_0.10,0.11399797952932211,0.10025887259555906,0.1283569664883286
mimic_iv,any_sensor,age_sex,3782,483,risk_0.25,0.12454432025759332,0.1045528757750365,0.14603932320138346
mimic_iv,any_sensor,age_sex,3782,483,risk_0.50,0.13120437714186287,0.11155812063434484,0.15137377492856055
mimic_iv,any_sensor,age_sex,3782,483,average_marginal_risk_difference,0.006271760133775249,0.0017874265087942341,0.010619866510568782
